,ts,src_ip,dst_ip,src_port,dst_port,proto,service,duration,src_bytes,dst_bytes,missed_bytes,src_packets,dst_packets
0,1588205199.82437,10.0.1.6,10.0.0.4,54243,53,udp,dns,0.001528024673461914,39,55,0,1,1
1,1588205199.827696,10.0.1.6,10.0.0.4,56880,445,tcp,"gssapi,smb,krb",10.761076927185059,4020,1681,0,12,11
2,1588205279.953876,10.0.1.6,10.0.0.4,65108,53,udp,dns,0.0015990734100341797,36,104,0,1,1
3,1588205323.385543,10.0.1.6,10.0.1.255,138,138,udp,NaN,NaN,NaN,NaN,0,1,0
4,1588205390.833714,10.0.1.6,10.0.0.4,123,123,udp,NaN,0.0030689239501953125,120,120,0,1,1
5,1588205723.303168,10.0.1.6,10.0.0.4,54192,53,udp,dns,0.001271963119506836,35,51,0,1,1
6,1588205880.051921,10.0.1.6,10.0.0.4,56542,53,udp,dns,0.0012230873107910156,36,104,0,1,1
7,1588206048.982423,10.0.1.6,10.0.0.4,56956,389,tcp,NaN,0.3697969913482666,2180,515,0,8,8
8,1588206048.840759,10.0.1.6,10.0.0.4,56955,389,tcp,NaN,0.5158419609069824,2991,4544,0,13,11
9,1588206048.591635,10.0.1.6,10.0.0.4,56953,135,tcp,dce_rpc,14.712318897247314,328,280,0,7,6
10,1588206048.59429,10.0.1.6,10.0.0.4,56954,49667,tcp,dce_rpc,34.737389087677,2799,1098,0,10,10
11,1588206040.945113,10.0.1.6,10.0.1.255,138,138,udp,NaN,NaN,NaN,NaN,0,1,0
12,1588206048.481595,10.0.1.6,10.0.0.4,56543,389,udp,NaN,0.001071929931640625,203,174,0,1,1
13,1588206048.870904,10.0.1.6,10.0.0.4,56545,389,udp,NaN,0.001207113265991211,202,174,0,1,1
14,1588206049.291189,10.0.1.6,10.0.0.4,56957,445,tcp,"gssapi,smb,krb",183.00438499450684,15652,12520,0,71,70
15,1588206414.926762,10.0.1.6,10.0.0.4,123,123,udp,NaN,0.0019829273223876953,120,120,0,1,1
16,1588206480.101581,10.0.1.6,10.0.0.4,56622,53,udp,dns,0.0018889904022216797,36,104,0,1,1
17,1588206763.425808,10.0.1.6,10.0.0.4,64909,53,udp,dns,0.002293109893798828,47,165,0,1,1
18,1588206809.274476,10.0.1.4,10.0.1.6,60775,5985,tcp,NaN,0.011584043502807617,4719,426,0,9,6
19,1588206808.214094,10.0.1.4,10.0.1.6,60774,5985,tcp,NaN,1.0738060474395752,16130,6585,0,22,14
20,1588206807.77218,10.0.1.4,10.0.1.6,60772,5985,tcp,NaN,1.519392967224121,11473,7014,0,20,12
21,1588206806.283442,10.0.1.4,10.0.1.6,60771,5985,tcp,NaN,3.0103399753570557,24430,13628,0,27,16
22,1588206763.90258,10.0.1.6,10.0.1.255,138,138,udp,NaN,NaN,NaN,NaN,0,1,0
23,1588206823.656936,10.0.1.6,10.0.0.4,56837,53,udp,dns,4.11504602432251,164,261,0,4,1
24,1588206894.195274,10.0.1.6,10.0.0.4,57027,389,tcp,NaN,0.0035037994384765625,158,386,0,5,4
25,1588206894.199245,10.0.1.6,10.0.0.4,57028,389,tcp,NaN,0.009999990463256836,2351,6019,0,9,8
26,1588206894.209659,10.0.1.6,10.0.0.4,57029,389,tcp,NaN,0.3798689842224121,7233,16107,0,22,24
27,1588206891.727231,10.0.1.6,10.0.0.4,58829,53,udp,dns,0.0013799667358398438,90,158,0,1,1
28,1588206891.729114,10.0.1.6,10.0.0.4,52350,53,udp,dns,0.0018558502197265625,59,127,0,1,1
29,1588206891.731235,10.0.1.6,10.0.1.255,137,137,udp,dns,1.5173280239105225,150,0,0,3,0
30,1588206894.285716,10.0.1.6,10.0.0.4,64562,53,udp,dns,0.0012049674987792969,53,110,0,1,1
31,1588206894.130204,10.0.1.6,10.0.0.4,57026,445,tcp,"gssapi,smb,krb,dce_rpc",10.736752986907959,20809,16305,0,126,125
32,1588206894.115837,10.0.1.6,10.0.0.4,57024,135,tcp,dce_rpc,12.411231994628906,328,280,0,7,6
33,1588206894.120412,10.0.1.6,10.0.0.4,57025,49667,tcp,dce_rpc,12.40674090385437,462,472,0,7,6
34,1588206926.038794,10.0.1.4,10.0.1.6,60807,445,tcp,"gssapi,smb,krb",10.308274984359741,527368,1617,297780,31,25
35,1588206925.606391,10.0.1.4,10.0.1.6,60803,445,tcp,gssapi,10.740680932998657,4261160,3871,1673240,276,81
36,1588206926.036974,10.0.1.4,10.0.1.6,60805,445,tcp,"gssapi,smb,krb",10.310121059417725,2084,947,0,8,5
37,1588206926.037337,10.0.1.4,10.0.1.6,60806,445,tcp,"gssapi,smb,krb",10.30993390083313,527300,1619,60974,61,25
38,1588206894.007923,10.0.1.6,10.0.0.4,52351,389,udp,NaN,0.0013880729675292969,246,174,0,1,1
39,1588206894.287531,10.0.1.6,10.0.0.4,64563,389,udp,NaN,0.0010561943054199219,203,174,0,1,1
40,1588206977.869289,10.0.1.4,10.0.1.6,60816,55121,tcp,NaN,3.00325608253479,0,0,0,3,0
41,1588206984.874815,10.0.1.4,10.0.1.6,60816,55121,tcp,NaN,NaN,NaN,NaN,0,1,0
42,1588206992.883645,10.0.1.4,10.0.1.6,60816,55121,tcp,NaN,NaN,NaN,NaN,0,1,0
43,1588206990.33993,10.0.1.6,10.0.0.4,64173,53,udp,dns,0.0013010501861572266,35,51,0,1,1
44,1588206998.94158,10.0.1.6,10.0.0.4,57044,389,tcp,NaN,0.008389949798583984,2741,4007,0,10,10
45,1588206998.949662,10.0.1.6,10.0.0.4,57045,389,tcp,NaN,0.008588075637817383,2206,937,0,7,7
46,1588206998.952488,10.0.1.6,10.0.0.4,57046,389,tcp,NaN,0.005938053131103516,2391,1273,0,8,8
